experiment_name,dataset,alpha_tag,seed_tag,fedavg_acc,head_only_acc,conv2_head_acc,full_ft_acc,wins_head_only,wins_conv2_head,wins_full_ft
cifar100_alpha01_seed0,cifar100,alpha01,seed0,0.0928,0.2840625,0.2740625,0.268203125,7,7,6
cifar100_alpha01_seed1,cifar100,alpha01,seed1,0.1009,0.29796875,0.299765625,0.27328125000000003,9,7,4
cifar100_alpha01_seed2,cifar100,alpha01,seed2,0.1002,0.28820312499999995,0.28851562499999994,0.27179687499999994,9,6,5
cifar100_alpha03_seed0,cifar100,alpha03,seed0,0.1156,0.204765625,0.2046875,0.20093750000000005,8,8,4
cifar100_alpha03_seed1,cifar100,alpha03,seed1,0.1043,0.2028125,0.20070312499999998,0.20171875000000003,6,7,7
cifar100_alpha03_seed2,cifar100,alpha03,seed2,0.1034,0.22046874999999994,0.2084375,0.21343750000000003,11,5,4
cifar100_alpha10_seed0,cifar100,alpha10,seed0,0.1047,0.14734375,0.13718750000000002,0.14757812499999998,10,3,7
cifar100_alpha10_seed1,cifar100,alpha10,seed1,0.1075,0.13921875,0.14570312500000002,0.14796874999999998,4,7,9
cifar100_alpha10_seed2,cifar100,alpha10,seed2,0.1058,0.14851562499999998,0.14765625,0.15140625000000002,7,5,8
cifar10_alpha01_seed0,cifar10,alpha01,seed0,0.2502,0.6969042756812154,0.6842660356884493,0.6935592936158669,8,6,6
cifar10_alpha01_seed1,cifar10,alpha01,seed1,0.2858,0.7342661125804765,0.7321468008894874,0.7266616213662498,8,5,7
cifar10_alpha01_seed2,cifar10,alpha01,seed2,0.2805,0.7006047170597258,0.6765786441529362,0.6640839042335507,7,7,6
cifar10_alpha03_seed0,cifar10,alpha03,seed0,0.2822,0.5478906250000001,0.5315624999999999,0.541953125,10,2,8
cifar10_alpha03_seed0_testharness,cifar10,alpha03,seed0,0.2826,0.5478906250000002,0.5315624999999999,0.542109375,10,2,8
cifar10_alpha03_seed1,cifar10,alpha03,seed1,0.3155,0.5555625000000001,0.541171875,0.5371666666666666,10,5,5
cifar10_alpha03_seed2,cifar10,alpha03,seed2,0.3314,0.5657020323426573,0.5749579326923077,0.5750677447552447,4,7,9
cifar10_alpha10_seed0,cifar10,alpha10,seed0,0.3143,0.4511718750000001,0.4462499999999999,0.44117187499999994,9,5,6
cifar10_alpha10_seed1,cifar10,alpha10,seed1,0.3252,0.41968750000000005,0.416796875,0.4093750000000001,8,7,5
cifar10_alpha10_seed2,cifar10,alpha10,seed2,0.3308,0.41335937500000003,0.41671874999999997,0.41921875000000003,6,9,5
